supplier_id,contract_text,clause_risk_score
S_00264,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,45.15
S_00265,Penalty clause included for delayed delivery. Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,33.09
S_00266,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,49.26
S_00267,Penalty clause included for delayed delivery. Supplier notified raw material shortages causing delays.,36.45
S_00268,Payment terms: net 30 days. Long-term partnership clause with annual reviews.,32.14
S_00269,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,65.92
S_00270,Penalty clause included for delayed delivery. Payment terms: net 30 days.,24.05
S_00271,Payment terms: net 30 days. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,40.02
S_00272,No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,73.43
S_00273,No clear penalty clause; termination ambiguous.,59.74
S_00274,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,42.92
S_00275,No clear penalty clause; termination ambiguous.,55.21
S_00276,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,57.47
S_00277,No clear penalty clause; termination ambiguous. Long-term partnership clause with annual reviews.,57.65
S_00278,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,62.86
S_00279,Penalty clause included for delayed delivery. Payment terms: net 30 days. Long-term partnership clause with annual reviews.,18.82
S_00280,Payment terms: net 30 days. Supplier notified raw material shortages causing delays.,49.99
S_00281,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,60.52
S_00282,Penalty clause included for delayed delivery. Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,57.97
S_00283,Penalty clause included for delayed delivery. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays. Long-term partnership clause with annual reviews.,62.34
S_00284,Payment terms: net 30 days. No clear penalty clause; termination ambiguous. Supplier notified raw material shortages causing delays.,65.25
S_00285,Payment terms: net 30 days. No clear penalty clause; termination ambiguous.,54.81
S_00286,Payment terms: net 30 days.,32.43
